id,Id,Sentence,predicted_relations_id,predicted_relations
61,60,<s><e1>उपकार</e1> 1967 में बनी हिन्दी भाषा की फिल्म है जिसका निर्देशन <e2>मनोज कुमार</e2> ने किया है</s>,15,director
62,61,<s>शिल्का का आगे चलकर चीन और रूस की सीमा पर <e2>अर्गुन नदी</e2> के साथ विलय होता है जिस से <e1>अमूर नदी</e1> पैदा होती है  पूरी शिल्का नदी में इतनी गहराई है कि उसपर नाविक यातायात चल सकता है</s>,16,tributary
63,62,"<s><e1>সঞ্জু আউ সঞ্জনা</e1> (ওড়িয়া: ସଞ୍ଜୁ ଆଉ ସଞ୍ଜନା) ২০১০ সালে মুক্তি পাওয়া <e2>অশোক পতি</e2> পরিচালিত ওড়িয়া ভাষার চলচ্চিত্র, ছবিটির কাহিনীকার প্রীতিরনি মহান্তি, সহগল্পকার ও চিত্রনাট্যকার অশোক পতি এবং সংলাপ রচয়িতা রজনী রঞ্জন</s>",15,director
64,63,<s><e2>अंगद</e2> के पिता <e1>बालि</e1> का प्रभु श्रीराम ने वध कर दिया था</s>,13,child
65,64,"<s>ప్రతిష్ఠాత్మక <e2>అర్జున అవార్డు</e2>కు ఎంపికైన బ్యాడ్మింటన్ ఆశాకిరణం <e1>కిదాంబి శ్రీకాంత్</e1> క్రికెట్ దేవుడు సచిన్ టెండూల్కర్ మాటలు తనలో కసిని పెంచాయని అన్నాడు. సచిన్ ను కలవడం తన జీవితంలో మరపురాని ఘట్టమని పేర్కొన్నాడు. ఆయనో దిగ్గజం అని, తానూ ఆయననే ఆదర్శంగా తీసుకుంటానని తెలిపాడు. సచిన్ తన అంకుల్ స్నేహితుడని వెల్లడించాడీ తెలుగుతేజం. తన అంకుల్ ను కలవడానికి సచిన్ వచ్చాడని, అప్పుడే ఆయనతో మాట్లాడానని వివరించాడు. కొన్ని నిమిషాలే ముచ్చటించానని, అయితే, ఎంతో ప్రోత్సాహకరంగా మాట్లాడాడని చెప్పాడు. ""ఏదో ఒక రోజున నువ్వు తప్పకుండా వరల్డ్ నెంబర్ వన్ క్రీడాకారుడిగా అవతరిస్తావు"" అని సచిన్ ఆ సందర్భంగా ప్రోత్సాహ వచనాలు పలికారని శ్రీకాంత్ తెలిపాడు.</s>",20,award_received
66,65,<s>एक्शन थ्रिलर <e1>किक</e1> की कहानी और शूट को समर्पित समय के साथ डिजाइन किया गया था क्योंकि निर्देशक <e2>साजिद नाडियाडवाला</e2> इस फिल्म के साथ दर्शकों की उम्मीदों पर खरा उतरना चाहते थे और दर्शकों को रोमांचित करने के लिए फ़िल्म में बेहतरीन एक्शन सीक्वेंस को अंजाम दिया गया था</s>,15,director
67,66,<s>১৯৩৬ সালে প্রতিষ্ঠিত আধুনিক <e2>মিশর</e2>ের রাজধানীর নাম <e1>কায়রো</e1></s>,22,capital_of
68,67,"<s><e1>এর্নস্ট ইংমার বারিমান</e1> (সুয়েডীয় Ernst Ingmar Bergman (সাহায্য·তথ্য) ইংমার্‌ ব্যার্‌য়্‌মান্‌, ১৪ই জুলাই ১৯১৮ - ৩০শে জুলাই ২০০৭) সুয়েডীয় চলচ্চিত্র পরিচালক, <e2>চিত্রনাট্যকার</e2>, মঞ্চ পরিচালক ও নির্দেশক এবং নাট্যকার</s>",1,occupation
69,68,<s>శ్రీలంక <e2>క్రికెట్</e2>.. <e1>చమిందా వాస్</e1> ని నియమించారు. ఆయన కూడా ఇలా బాధ్యతలు చేపట్టగానే... అలా రాజీనామా చేయడం అందరినీ షాకింగ్ కి గురి చేసింది.</s>,2,sport
70,69,"<s><e1>আইয়ুব বাচ্চু</e1> ১৯৬২ সালের ১৬ আগস্ট তৎকালীন পূর্ব পাকিস্তানের (বর্তমান বাংলাদেশ) <e2>চট্টগ্রাম</e2> জেলার পটিয়া উপজেলার খরনা ইউনিয়নে জন্মগ্রহণ করেন, তার বাবা ইশহাক চোধুরী এবং মা নুরজাহান বেগম</s>",7,place_of_birth
71,70,"<s>సీతాపహరణానంతరం రాముడు సముద్రంపై వారధిని నిర్మించి లంకను ముట్టడించడానికి వానరభల్లూక సేనా సమేతుడై వచ్చాడు. అక్కడ లంకలో <e1>రావణుడు</e1> యుద్ధము విషయమై తనవారితో మంత్రాంగం నెరప సాగాడు. పుర భద్రత కట్టుదిట్టంగా ఉండాలని ఆనతిచ్చాడు. రాక్షస వీరులు రావణుని ప్రతాపాన్ని, తమ శక్తి సామర్ధ్యాలను కీర్తించుకొని, నిర్భయంగా ఉండమన్నారు. ఒక్కొక్కరు తానే రామలక్ష్మణులను కడతేర్చగలమన్నారు. కాని రావణుని తమ్ముడైన <e2>విభీషణుడు</e2> రావణునితో విభేదించాడు. తనకు ఆప్తులైన నలుగురు రాక్షసులతోకలిసి విభీషణుడు అన్నగారి సెలవు తీసికొని ఆకాశానికి ఎగిరి, సాగరముదాటి, రాముని శరణు జొచ్చాడు.</s>",3,sibling
72,71,<s><e1>রাঁচি রেলওয়ে বিভাগ</e1>  ভারতীয় রেলওয়ের <e2>দক্ষিণ পূর্ব রেল</e2> পথের চারটি রেল বিভাগের মধ্যে একটি</s>,4,parent_organization
73,72,"<s>‘<e1>वजह तुम हो</e1>’ के निर्देशक <e2>विशाल पंड्या</e2> की पिछली फिल्म ‘हेट स्टोरी 3’ की समीक्षा के दौरान हमने शरमन जोशी के लिए लिखा था कि अच्छा अभिनेता हमेशा से ही अच्छी फिल्मों का मोहताज होता है, ‘हेट स्टोरी 3’ का नहीं. ‘वजह तुम हो’ भी उन्हें अच्छा अभिनय करने से मोहताज कर देती है और पुलिसवाले के उनके किरदार को ‘केस में आगे जाने के लिए पीछे जाना पड़ता है’ जैसे कई हास्यास्पद संवाद और ओवरएक्टिंग की वजह देकर बिना जाने-समझे ही दर्शकों को लोटपोट करती है. शरमन शरलॉक होम्स की तरह बर्ताव करके भी खीज पैदा करते हैं और चूंकि उन्हें खराब फिल्मों में देखते जाने की आदत अभी तक पड़ी नहीं है, इसलिए ऐसी चलताऊ फिल्मों में उनका होना कचोटता भी ज्यादा है.</s>",15,director
74,73,"<s>উহুদ যুদ্ধে <e1>হামনা বিনতে জাহাশ</e1>ের স্বামী <e2>মুসআব ইবনে উমাইর</e2>,তার ভাই আবদুল্লাহ ইবনে জাহাশ ও তার মামা হামযা ইবনে আব্দুল মুত্তালিব সহ আরো ৬৭ জন মুসলিম শহীদ হন</s>",11,spouse
75,74,<s>కౌశిక పత్ని సుమతి తన పతి శాపాన్ని పునస్కరించుకొని సూర్యోదయాన్ని అపేసింది. <e1>అనసూయ</e1> పదిరోజులను ఒకరోజుగా చేసి సూర్యుడుదయించేటట్లు చేసింది. మరణించిన సుమతి భర్తను మరల బ్రతికించింది. నారదుని కోరికపై గులకరాళ్ళను గుగ్గిళ్ళుగా మార్చి ఆయన ఆకలిని తీర్చింది. లోకమాతలైన లక్ష్మీపార్వతీసరస్వతులను గెలిచింది. శ్రీరాముడు అరణ్యవాసకాలంలో సీతతో ఆశ్రమానికి వచ్చినప్పుడు ఈమె సీతకు పతివ్రతాధర్మాలను ఉపదేశించింది. తన మహిమను పరీక్షించడానికి వచ్చిన త్రిమూర్తులను శిశువులను చేసి లాలించింది. లోకమాతలకు పతిభిక్షపెట్టి అత్తగారిగా నిలిచింది. త్రిమూర్తుల అంశతో <e2>దత్తాత్రేయ</e2>ుడు అనే పుత్రున్ని పొందింది.</s>,13,child
76,75,"<s>ফ্রান্স, যুক্তরাষ্ট্র, যুক্তরাজ্য, রাশিয়া, জার্মানি, জাপান, ইতালি ও <e2>কানাডা</e2> - এই ক্রমানুসারে <e1>জি৮</e1> এর সম্মেলনস্থল এবং সভাপতিত্ব নির্ধারিত হয়ে থাকে  সভাপতি-রাষ্ট্র সম্মেলনের কর্মসূচী ও মন্ত্রীসভার বৈঠকের ব্যাপারে সিদ্ধান্ত নেন</s>",19,participant
77,76,"<s>దర్యోధన దుశ్శాసనులైన కౌరవులు వందమంది. తోడ ఒకసోదరి. నూటొక్క మందికి తండ్రి <e1>ధృతరాష్ట్రుడు</e1>! తల్లి <e2>గాంధారి</e2>. ధృతరాష్ట్రుడు విచిత్ర వీర్యుని క్షేత్రజ పుత్రుడు. క్షేత్రజుడంటే దేవరాచి న్యాయంతో భార్యకు పుట్టిన వాడని అర్థం. విచిత్రవీరుని మరణంతో సంతానానికి దూరమైన అంబిక, అంబాలికలలో – అంబికకు ఆమె అత్తయిన సత్యవతి ఆజ్ఞతో – భీష్ముని అనుమతితో – వేద వ్యాసునికి పుట్టినవాడే ధృతరాష్ట్రుడు. వ్యాసుని ముని రూపాన్ని చూసి అసహ్యించుకుంటూ అంబిక కళ్ళు మూసుకుంది. అందువల్లనే పుట్టుగుడ్డిగా పుట్టాడు ధృతరాష్ట్రుడు. భీష్ముని పెంపకంలో రాజ విద్యలు నేర్చుకున్నాడు. భీష్ముడే రక్షకుడిగా ఉండి ధృత రాష్ట్రునికి రాజ్యాభిషేకం చేసాడు. తమ్ముడు పాండురాజుకూడా అన్నకు అండదండలందించాడు. ఇష్టపడి ఏరికోరి చేసుకున్నభార్య గాంధారి కళ్ళు ఉండీ భర్త తోడిదే లోకమని కళ్ళకు గుడ్డ కట్టుకుంది. అనురాగమందించింది.</s>",5,mother
78,77,"<s>ఈ విషయం గురించి బభ్రువాహనుడి సేనలు తల్లి <e2>చిత్రాంగద</e2>కు తెలియజేశారు. ఉలూపితో సహా యుద్ధభూమికి వచ్చిన చిత్రాంగద, రథానికి అడ్డంగా పడివున్న కొడుకును, నిర్జీవంగా ఉన్న భర్తను చూసి దుఃఖించింది. సోదరీ ఈ పసివాడ్ని ఎందుకు యుద్ధానికి ప్రోత్సహించావు? కొడుకు శౌర్యానికి బలైన ఈ కురుకులవరేణ్యుణ్ణి నువ్వు బతికించకపోతే నేను కూడా ఇక్కడే ప్రాయోపవేశం చేస్తాను అంటూ చిత్రాంగద పద్మాసనం వేసుకుని కూర్చుంది. కాసేపటికి తేరుకున్న <e1>బభ్రువాహనుడు</e1>... తండ్రిని చంపిన పాపానికి తానూ ప్రాయోపవేశం చేసి తనువు చాలించాలనుకుని ఆయన పాదాల దగ్గర కూర్చున్నాడు.</s>",5,mother
79,78,"<s>নাসিরুদ্দিন মুহম্মদ <e1>হুমায়ুন</e1> (ফার্সি: نصيرالدين همايون) (মার্চ ৬, ১৫০৮ - ২৭ জানুয়ারী, ১৫৫৬) মুঘল সাম্রাজ্যের দ্বিতীয় সম্রাট, যিনি ১৫৩০ খ্রিষ্টাব্দ থেকে ১৫৪০ খ্রিষ্টাব্দ এবং ১৫৫৫ খ্রিস্টাব্দ থেকে ১৫৫৬ খ্রিষ্টাব্দ পর্যন্ত দুই দফায় আধুনিক আফগানিস্তান, পাকিস্তান এবং ভারতের উত্তরাঞ্চলে রাজত্ব করেছেন, তিনি এই সাম্রাজ্যের প্রতিষ্ঠাতা সম্রাট <e2>বাবর</e2>ের পুত্র ছিলেন</s>",6,father
80,79,"<s>కుటుంబంలో ఒక్క చెల్లి అక్క ఉంటేనే ఎంత బాగా చూసుకుంటారు, అలాంటిది నూరుగురికి ఓ చెల్లి అంటే ఎంత ప్రేమ ఉంటుంది… ఓసారి ఆలోచించండి అంతటి ప్రేమ పొందింది <e1>దుస్సల</e1>. దుస్సల <e2>ధృతరాష్ట్రుడు</e2>, గాంధారిల కుమార్తె, కౌరవుల సోదరి.. ఆమెని సింధు దేశ రాజు సైంధవుడు వివాహం చేసుకున్నాడు.</s>",6,father
81,80,"<s>రాముడు నిర్వంచిన అశ్వమేథ యాగంలో వాల్మీకి లవ, కుశులతో సహా మారువేషంలో హాజరవుతాడు. <e1>లవుడు</e1>, కుశుడు రాజ్యంలో అనేక సమావేశాలలో ప్రేక్షకుల సమక్షంలో రామాయణ గాథను గానం చేస్తారు. <e2>సీత</e2> బహిష్కరణ గురించి లవుడు, కుశుడు పాడినపుడు రాముడు దు:ఖంతో బాధపడతాడు. రాముడు అడవికి వచ్చినపుడు వాల్మీకి ద్వారా సీతను గూర్చి తెలుసుకుంటాడు. సీతారాములు కలిసే సమయంలో సీత తన తల్లి భూమాతను పిలిచి తనను స్వీకరించమని అడుగుతుంది. తరువాత తల్లితో పాటు సీత అదృశ్యమవుతుంది. రాముడు లవుడు, కుశుడు తన పిల్లలని తెలుసుకుంటాడు.</s>",5,mother
82,81,"<s><e2>गायत्री देवी</e2> के पुत्र, जयपुर के राजकुमार <e1>जगत सिंह</e1> का जनम १५ अक्टूबर १९४९ में हुआ, जो बाद में ईसरदा के रजा बने</s>",5,mother
83,82,"<s><e1>রোম্যাঁ রোলাঁ</e1> (ফরাসি: Romain Rolland; ২৯ জানুয়ারি, ১৮৬৬ - ৩০ ডিসেম্বর, ১৯৪৪) ছিলেন একজন ফরাসি নাট্যকার, ঔপন্যাসিক, প্রাবন্ধিক, শিল্প ঐতিহাসিক ও অধ্যাত্মবিদ, ১৯১৫ সালে তিনি <e2>সাহিত্যে নোবেল পুরস্কার</e2>ে ভূষিত হন</s>",20,award_received
84,83,"<s><e1>কৌশিক সেন</e1>ের সাথে বিয়ে হয় রেশমি সেন (একজন থিয়েটার ব্যক্তিত্ব) তাদের এক পুত্র, <e2>ঋদ্ধি সেন</e2> একজন অভিনেতা</s>",13,child
85,84,"<s><e1>ఆత్మ బంధువులు</e1> 1987 లో విడుదలైన తెలుగు- భాషా నాటక చిత్రం, తారకా ప్రభు ఫిల్మ్స్ బ్యానర్‌లో <e2>దాసరి నారాయణరావు</e2> నిర్మించి దర్శకత్వం వహించాడు.[1] ఇందులో అక్కినేని నాగేశ్వరరావు, జయసుధ ప్రధాన పాత్రలలో నటించగా, చంద్ర శేఖర్ సంగీతం అందించాడు.[2] ఈ చిత్రం హిందీ చిత్రం అమృత్ (1986) యొక్క రీమేక్.[3] ఈ చిత్రానికి అక్కినేని నాగేశ్వరరావు ఉత్తమ నటుడు - తెలుగు [4] ఫిలింఫేర్ అవార్డును గెలుచుకున్నారు.</s>",15,director
86,85,"<s>రాచకొండ విశ్వనాధశాస్త్రి వృత్తి రీత్యా <e2>న్యాయవాది</e2>. <e1>రావిశాస్త్రి</e1> గా ప్రసిద్ధుడైన ఆయన, కథల్లో కూడా న్యాయవాదే. నేటి సమాజంలో నిత్యమూ పై తరగతులవారి అన్యాయాలకు, దౌర్జన్యాలకు గురై చిత్ర హింసలు పడుతున్న దీన, హీన ప్రజల తరపుతన ప్రతి రచనలోను వకాల్తా పుచ్చుకుని సాంఘిక న్యాయం కోసం ""వాదించాడు"". సమాజం అట్టడుగు పొరల్లో, అనుక్షణం భయపడుతూ జీవించే అథోజగత్సహొదరుల సమస్యలను, వాటివలన కలిగే దుఖాన్ని సూటిగా గుండెలకు నాటేలా చెప్పి పై జీవితం పట్ల పాఠకుల సానుభూతి ""పిండ"" గల ఏకైక ప్రతిభావంతుడు. శ్రీకాకుళం, విజయనగరం, విశాఖ జిల్లాల మాండలికంలో, అట్టడుగు వర్గాల భాషలో, సొగసుగా, ప్రతిభావంతంగా, ప్రభావవంతంగా, పాఠకుల హృదయాలకు హత్తుకు పోయేలా పదునైన రచనలు చేసాడు.</s>",1,occupation
87,86,"<s><e1>मेरिल लिंच</e1> सहित <e2>बैंक ऑफ अमेरिका</e2> की बाज़ार पूँजी उस समय $45 बिलियन थी, जो सिर्फ़ चार महीने पहले मेरिल के लिये प्रस्तावित $50 बिलियन से कम था और विलय की घोषणा के समय से यह $108 बिलियन कम था</s>",4,parent_organization
88,87,"<s>শ্রী <e2>রামকৃষ্ণ পরমহংস</e2> দেবের শিষ্য নরেন ,১৮৮৬ সালে সন্ন্যাস গ্রহণ করে হয়ে ওঠেন <e1>স্বামী বিবেকানন্দ</e1></s>",9,student_of
89,88,"<s><e1>मंटो</e1> प्रसिद्ध उर्दू लेखक सआदत हसन मंटो के बारे में 2018 भारतीय जीवनी नाटक फिल्म है, जिसे <e2>नंदिता दास</e2> द्वारा लिखित और निर्देशित किया गया है</s>",15,director
90,89,<s><e1>শান্তা</e1> রামায়ণের একটি চরিত্র  অযোধ্যাপতি দশরথ ও তার প্রধানমহিষী <e2>কৌশল্যা</e2>র প্রথম সন্তান হলেন শান্তা</s>,5,mother
91,90,<s>దర్శకుడు కావాలనుకున్న ఆశతో <e2>హరీష్ శంకర్</e2> చేసిన తొలి ప్రయత్నం ‘షాక్’. అప్పుడప్పుడే విజయాలతో దూసుకెళుతున్న రవితేజ ఇచ్చిన అవకాశం వృథా అయ్యింది. అక్కడికి అయిదేళ్ల తర్వాత హరీష్ కసితో తీసిన సినిమా ‘<e1>మిరపకాయ్</e1>’. రవితేజ కెరీర్ లో సూపర్ హిట్ అని చెప్పుకోదగ్గ సినిమాల్లో ఇదొకటి. ఇదిలా ఉంటే ఈ సినిమాకి ఇప్పుడు సీక్వెల్ రానుందని ఫిలింనగర్ టాక్. మిరపకాయ్ తర్వాత రవితేజ -హరీష్ సినిమా కోసం కలిసింది లేదు. అయితే ఈ సినిమా నిర్మాత రమేష్ పుప్పాల ఎప్పటినుండో ‘మిరపకాయ్’ సీక్వెల్ కోసం ప్రయత్నిస్తున్నారట.</s>,15,director
92,91,"<s>যদিও আন্তর্জাতিক সম্প্রদায় ও এতে অংশগ্রহণকারী <e2>ইকুয়েডর</e2>ের সর্বত্র <e1>পাকুইশা যুদ্ধ</e1> নামে পরিচিত হলেও স্পেনীয়দের কাছে এ ঘটনাটি ফলসো পাকুইশা যুদ্ধ নামে পরিচিত, তবে পেরুতে মাঝেমধ্যেই পাকুইশা ঘটনা হিসেবে পরিচিতি পেয়ে আসছে</s>",19,participant
93,92,"<s><e2>ভিক্টোরিয়া চ্যাপলিন</e2> (ইংরেজি: Victoria Chaplin; জন্ম: ১৯ মে, ১৯৫১) হলেন একজন ব্রিটিশ-মার্কিন সার্কাস পরিবেশক  তিনি প্রখ্যাত কৌতুকাভিনেতা ও চলচ্চিত্র পরিচালক চার্লি চ্যাপলিন ও তার চতুর্থ স্ত্রী <e1>উনা ওনিল</e1>ের কন্যা</s>",13,child
94,93,"<s>डॉ. <e1>सर्वपल्ली राधाकृष्णन</e1> न केवल भारत के दूसरे राष्ट्रपति थे बल्कि वो देश के पहले उपराष्ट्रपति भी थे. राधाकृष्णन को देश की सर्वोच्च उपाधि भारतरत्न से भी सम्मानित किया गया है. उन्हें <e2>साहित्य में नोबेल पुरस्कार</e2> के लिए 16 बार और नोबेल शांति पुरस्कार के लिए 11 बार नामित किया गया था. वो आंध्र विश्वविद्यालय, काशी हिंदू विश्वविद्यालय और दिल्ली विश्वविद्यालय के वाइस चांसलर भी रह चुके थे. राजनीतिक व्यक्ति न होते हुए भी वो संविधान सभा के सदस्य बने थे.</s>",25,nominated_for
95,94,<s>বাংলা ভাষা ও সাহিত্য ক্ষেত্রে অনন্য অবদানের স্বীকৃতি প্রদানের উদ্দেশ্যে ১৯৭৭ সাল থেকে এই ক্ষেত্রে <e2>স্বাধীনতা পুরস্কার</e2> প্রদান করা হচ্ছে এবং ১৯৭৭ সালে প্রথমবারের মতো “স্বাধীনতা পুরস্কার” প্রচলণকালীনই কাজী <e1>নজরুল ইসলাম</e1> (মরণোত্তর)'কে “সাহিত্যে স্বাধীনতা পুরস্কার” প্রদান করা হয়</s>,20,award_received
96,95,"<s>పద్నాలుగవ యేటనే పాలనా పగ్గాలు చేపట్టిన రుద్రమకు ఇరవై ఐదో యేట నిడదవోలు రాజైన చాళుక్య వీరభద్రునితో వివాహమైంది. రాణి రుద్రమదేవి భర్త చాళుక్య వీరభధ్రుడు గౌడ కులానికి చెందిన చాళుక్య రాజులు. వీరికి ఇద్దరు కూతుళ్లు ముమ్మడమ్మ, రుయ్యమ్మ. తనకు మగ సంతానం లేకపోవడంతో రుద్రమ తన పెద్ద కుమార్తె ముమ్మడమ్మ కుమారుడైన ప్రతాపరుద్రుడ్ని దత్తత తీసుకుని యువరాజుగా పట్టాభిషేకం చేసింది. విధి ప్రాతికూల్యం చేత <e1>రుద్రమ దేవి</e1> భర్త చాళుక్య <e2>వీరభద్రుడు</e2> క్రీ.శ. 1266 నాటికే మృతిచెందినట్లు ఆయన తల్లి ఉదయ మహాదేవి పాలకొల్లు శాసనంలో ఉంది. భర్త మరణానికి సమీప కాలంలోనే రుద్రమదేవికి మరొక తీరని దుఃఖం కలిగింది. వృద్ధుడైన గణపతి దేవ చక్రవర్తి 1267లో శివసాయుజ్యం చెంది ఆమెను నిస్సహాయురాల్ని చేశాడు. రుద్రమకు ఇద్దరు కూతుళ్లే కాక, ఎల్లన దేవుని భార్య కూడా రుద్రమదేవి తనయ అని ప్రకృతశాసనం చెబుతోంది.</s>",11,spouse
97,96,"<s><e2>అర్జున్ కపూర్</e2> (జననం 26 జూన్ 1985) ప్రముఖ బాలీవుడ్ నటుడు. నిర్మాత <e1>బోనీ కపూర్</e1>, మోనా షౌరేల కుమారుడు ఆయన. కల్ హో నా హో (2003) , వాంటెడ్ (2009) వంటి సినిమాలకు సహాయ దర్శకుడు, సహాయ నిర్మాతగా పనిచేసిన తరువాత హబిబ్ ఫైసల్ దర్శకత్వంలో ఇషాక్ జాదే (2012) సినిమాతో హీరోగా తెరంగేట్రం చేశారు అర్జున్. ఈ సినిమాలోని నటనకు ఫిలింఫేర్ బెస్ట్ మేల్ డెబ్యూ అవార్డుకు నామినేషన్ కూడా లభిందింది.</s>",13,child
98,97,<s><e1>साफ़ो</e1> लेस्बोस द्वीप से एक पुरातन यूनानी <e2>कवि</e2> थी</s>,1,occupation
99,98,"<s>13వ శతాబ్ధంలో <e1>చైనా</e1>ను మంగోల్ సామ్రాజ్యవాదుల దాడికి గురైంది. 1271 నాటికి మంగోల్ వీరుడు కుబ్లైఖాన్ యువాన్ సామ్రాజ్యాన్ని స్థాపించాడు. 1279లో యువాన్ శేధభాగాన్ని అంతటినీ జయించింది. మంగోల్ దండయాత్రకు ముందు చైనా పౌరుల సంఖ్య 120 మిలియన్లు అయింది. 1300 నాటికి గణాంకాలు చైనా పౌరుల సంఖ్యను 60 మిలియన్లుగా నమోదు చేసింది. [55] ఝుయువాన్ జంగ్ అనే కర్షకుడు 1368లో యువాన్ సామ్రాజ్యాన్ని త్రోసి మింగ్ సామ్రాజ్య స్థాపన చేసాడు. మింగ్ పాలనలో చైనా మరొక స్వర్ణయుగాన్ని చూసింది. ఆ సమయంలో చైనా ప్రపంచంలో శక్తివంతమైన నౌకానిర్మాణం చేసింది. చైనా ఆసమయంలో కళలు , సంస్కృతి అభివృద్ధితో సంపన్నమైన ఆర్థికవ్యవస్థను కలిగి ఉండేది. జంగ్ హీ నాయకత్వంలో ప్రపంచదేశాలన్నింటినీ చైనీయులు అన్వేషణ సాగించారు.[56] మింగ్ సామ్రాజ్యం ఆరంభంలో నైనా రాజధాని నాంజింగ్ నుండి <e2>బీజింగ్</e2>‌కు తరకించబడింది.మింగ్ పాలనా కాలంలోవాంగ్ యాంగ్ మింగ్ మొదలైన తత్వవేత్తలు కొంత విమర్శకు గురైయ్యారు.నియో కంఫ్యూషియనిజం వ్యక్తిత్వవాదం , నైతికవాదంతో మరింత విస్తరించింది..[57]</s>",14,capital
100,99,"<s><e2>মামলুক আলী নানুতুবি</e2> (১৭৮৯ — ১৮৫১) একজন ভারতীয় সুন্নি মুসলিম পণ্ডিত যিনি জাকির হুসেইন দিল্লী কলেজে আরবি ভাষার প্রধান শিক্ষক হিসাবে দায়িত্ব পালন করেছিলেন, তাঁর উল্লেখযোগ্য শিক্ষার্থীদের মধ্যে রয়েছে মুহাম্মদ কাসেম নানুতুবি, রশিদ আহমেদ গাঙ্গোহি এবং <e1>মুহাম্মদ ইয়াকুব নানুতুবি</e1></s>",9,student_of
101,100,"<s><e1>శ్రీదేవి విజయ్ కుమార్</e1> ప్రముఖ తమిళ సినిమా నటులైన విజయ్ కుమార్, <e2>మంజుల</e2> యొక్క చిన్న కుమార్తె. ఆమెకు ముగ్గురు అక్కలు (కవిత, అనిత, వనిత, ప్రీతి), ఒక అన్నయ్య (అరుణ్ విజయ్) ఉన్నారు. ఆమె తన 9 వయేట నుండి తన పాఠశాల విద్యాభ్యాసాన్ని ఆపివేసారు.[2] ఆమె తెలుగు సినిమా రుక్మిణి లో బాలనటిగా జీవితాన్ని ప్రారంభించారు. అందులో ప్రీత ప్రముఖ పాత్ర పోషించింది. ఆమె సినిమా కథానాయకిగా ""కదల్ వైరస్"" చిత్రం ద్వారా పరిచయమయ్యారు. ఆమె తెలుగు సినీ పరిశ్రమకు వచ్చిన తరువాత ప్రసిద్ధి చెందారు. ఆమె ఎ.వి.యం వారి ""ప్రియమన తోజీ"" చిత్రం ద్వారా మంచి నటిగా గుర్తింపు పొందారు.</s>",5,mother
102,101,"<s>पुरस्कार एवं सम्मान ‘अहिन्दी भाषी हिन्दी लेखक पुरस्कार’ – ‘हिमायती’ कहानी संग्रह पर केंद्रीय हिंदी निदेशालय द्वारा ‘प्रेमचंद पुरस्कार’ – उत्तर प्रदेश हिन्दी संस्थान द्वारा केन्द्रीय हिन्दी निदेशालय, हिन्दी अकेडमी दिल्ली, इंडो सोवियत लिटरेरी सोसायटी के कई सम्मान आदि भी उन्हें मिले थे  निधन हिन्दी साहित्य के क्षेत्र में अपना बहुमूल्य योगदान देने वाले <e1>अमर गोस्वामी</e1> का 28 जून, 2012 को <e2>गाज़ियाबाद</e2> में अपने निवास स्थान पर निधन हुआ</s>",21,place_of_death
103,102,<s><e1>৪০ একর এন্ড অ্যা মিউল ফিল্মওয়ার্কস</e1> হচ্ছে আমেরিকান চলচ্চিত্রকার <e2>স্পাইক লি</e2> এর একটি প্রোডাকশন কোম্পানি</s>,12,founded_by
104,103,<s><e2>रक्षा शरीरक्रिया एवं संबद्ध विज्ञान संस्थान</e2> भारत की एक रक्षा प्रयोगशाला है और <e1>रक्षा अनुसंधान एवं विकास संगठन</e1> के अन्तर्गत है</s>,17,subsidiary
105,104,"<s><e2>জন অ্যাডওয়ার্ড গ্রে</e2> (ইংরেজি: John Edward Gray) (১২ ফেব্রুয়ারি, ১৮০০ - ৭ মার্চ, ১৮৭৫) একজন ব্রিটিশ প্রাণিবিজ্ঞানী ও প্রকৃতিবিদ, তিনি আরেক স্বনামধন্য প্রকৃতিবিদ <e1>জর্জ রবার্ট গ্রে</e1>'র বড় ভাই এবং উদ্ভিদবিদ স্যামুয়েল ফ্রেডরিক গ্রে'র (১৭৬৬–১৮২৮) পুত্র</s>",3,sibling
106,105,"<s><e2>భారత రాష్ట్రపతి</e2>గా మరెన్నో పదవులలో సేవలందించిన తెలుగువెలుగు, కీర్తిశేషులు <e1>నీలం సంజీవరెడ్డి</e1> వర్ధంతి సందర్భంగా.. ఆయన జీవితంలో పాటించిన విలువల గురించి నేటి తరం తెలుసుకోవాల్సిన అవసరం ఎంతో ఉందని చంద్రబాబు అన్నారు.</s>",23,position_held
107,106,"<s><e1>లక్ష్మీ రాయ్</e1> (కన్నడ: ಲಕ್ಷ್ಮಿ ರೈ; మే 5, 1989) ఒక భారతీయ సినీ నటి. ఈమె <e2>బెల్గాం</e2>, కర్నాటక లో జన్మించింది.[2]</s>",7,place_of_birth
108,107,"<s>তিনি নিজের চলচ্চিত্র প্রযোজনা সংস্থা <e1>আরবাজ খান</e1> প্রােডাকশন নির্মাণ করেন এবং ২০১০ সালের ""দাবাং"" চলচ্চিত্র তার বড় ভাই সালমান খানকে নিয়ে নির্মানের মাধ্যমে <e2>চলচ্চিত্র প্রযোজক</e2> হিসেবে আত্মপ্রকাশ করেন</s>",1,occupation
